#OTU_ID	Orwoll_BI0023_BI	Orwoll_BI0056_BI	Orwoll_BI0131_BI	Orwoll_BI0153_BI	Orwoll_BI0215_BI	Orwoll_BI0353_BI
Zotu405	14	0	0	0	0	0
Zotu406	8	0	0	1	4	3
Zotu407	16	0	0	0	1	0
Zotu408	1	0	0	9	3	1
Zotu409	13	0	0	0	0	0
Zotu41	2	1	542	273	49	1
Zotu410	12	0	1	0	0	0
Zotu411	21	0	12	0	0	0
Zotu412	4	5	0	0	5	0
Zotu413	8	0	1	3	1	0
Zotu414	12	0	0	2	0	0
Zotu415	0	13	0	0	0	0
Zotu416	0	1	0	9	0	0
Zotu417	0	12	0	0	0	0
Zotu418	0	11	0	0	0	0
Zotu419	0	0	2	2	10	0
Zotu42	10	742	0	0	0	0
Zotu420	0	0	10	0	0	0
Zotu421	0	0	11	0	0	0
Zotu422	0	0	12	0	0	0
Zotu423	0	0	0	11	1	0
Zotu424	1	0	0	11	1	3
Zotu425	0	0	0	0	7	19
Zotu426	0	0	0	0	0	10
Zotu427	15	0	0	0	0	0
Zotu428	9	0	0	0	0	0
Zotu429	2	0	0	2	6	0
Zotu43	490	21	33	35	62	218
Zotu430	8	0	0	0	7	0
Zotu431	18	0	2	0	2	0
Zotu432	3	0	0	4	0	7
Zotu433	1	1	0	0	14	0
Zotu434	8	0	1	0	0	0
Zotu435	0	4	0	3	3	0
Zotu436	1	6	2	0	5	0
Zotu437	0	1	0	0	15	0
Zotu438	0	1	0	0	8	0
Zotu439	0	6	0	1	7	0
Zotu44	26	72	105	34	627	0
Zotu440	0	0	9	0	0	0
Zotu441	0	0	11	0	0	0
Zotu442	0	0	11	0	0	0
Zotu443	0	0	4	3	102	26
Zotu444	0	0	0	1	2	6
Zotu445	0	0	0	0	10	0
Zotu446	4	0	1	0	0	10
Zotu447	8	5	0	0	0	1
Zotu448	4	5	2	4	2	0
Zotu449	12	0	0	0	0	0
Zotu45	474	59	66	86	111	0
Zotu450	9	0	0	0	0	0
Zotu451	16	0	0	0	0	0
Zotu452	15	0	0	0	0	0
Zotu453	0	12	0	0	0	0
Zotu454	0	0	3	0	6	0
Zotu455	0	0	3	0	5	0
Zotu456	0	0	10	0	0	0
Zotu457	0	0	8	0	0	0
Zotu458	0	0	8	0	0	3
Zotu459	0	0	9	0	0	0
Zotu46	485	0	178	47	61	0
Zotu460	0	0	3	5	0	0
Zotu461	1	0	0	17	1	0
Zotu462	0	0	0	0	9	0
Zotu463	0	0	0	0	0	9
Zotu47	656	5	0	25	1	0
Zotu48	58	0	95	84	183	424
Zotu49	0	25	93	28	18	651
Zotu5	322	913	148	125	535	8413
Zotu50	164	0	167	56	91	375
Zotu51	0	0	36	527	198	1
Zotu52	1	1	447	5	96	181
Zotu53	0	0	696	0	0	0
Zotu54	0	103	578	0	0	0
Zotu55	19	0	16	245	228	280
Zotu56	0	0	0	0	674	0
Zotu57	3	47	0	4	23	629
Zotu58	0	109	1	0	534	0
Zotu59	0	598	0	0	0	0
Zotu6	93	5899	12	4	232	1650
Zotu60	0	562	0	0	0	0
Zotu61	10	0	108	7	58	427
Zotu62	61	61	49	17	151	232
Zotu63	0	0	491	0	0	0
Zotu64	1	10	216	0	280	2
Zotu65	4	22	1	57	385	23
Zotu66	0	454	84	4	0	0
Zotu67	0	32	0	124	254	97
Zotu68	395	0	0	2	71	0
Zotu69	0	430	8	0	0	0
Zotu7	0	0	611	5571	0	0
Zotu70	0	0	0	0	433	0
Zotu71	0	0	0	0	0	425
Zotu72	1	158	43	1	1	230
Zotu73	394	0	0	0	0	0
Zotu74	424	0	0	0	1	0
Zotu75	0	0	0	7	193	277
Zotu76	240	18	21	68	76	0
Zotu77	31	24	106	55	28	138
Zotu78	113	20	3	97	80	81
Zotu79	20	62	38	12	68	193
Zotu8	1	9	1	140	5	4515
Zotu80	316	0	28	1	0	0
Zotu81	176	0	0	0	168	0
Zotu82	333	0	0	0	0	0
Zotu83	323	5	0	1	1	0
Zotu84	104	10	40	24	142	0
Zotu85	13	0	14	34	44	251
Zotu86	5	7	0	2	2	419
Zotu87	0	319	4	0	0	0
Zotu88	1	294	0	0	0	13
Zotu89	196	13	87	15	0	0
Zotu9	550	160	1112	1323	1220	0
Zotu90	236	0	3	46	1	0
Zotu91	320	0	0	0	0	0
Zotu92	6	6	33	81	96	76
Zotu93	304	0	0	0	0	0
Zotu94	0	0	39	209	44	0
Zotu95	281	7	0	0	0	0
Zotu96	174	26	1	0	104	0
Zotu97	196	2	10	26	2	45
Zotu98	155	3	16	8	89	32
Zotu99	45	0	5	25	73	125
